date,stock_name,close
2020-01-02,上证综指,3085.197
2020-01-03,上证综指,3083.785
2020-01-06,上证综指,3083.408
2020-01-07,上证综指,3104.801
2020-01-08,上证综指,3066.892
2020-01-09,上证综指,3094.881
2020-01-10,上证综指,3092.29
2020-01-13,上证综指,3115.569
2020-01-14,上证综指,3106.82
2020-01-15,上证综指,3090.037
2020-01-16,上证综指,3074.081
2020-01-17,上证综指,3075.495
2020-01-20,上证综指,3095.787
2020-01-21,上证综指,3052.141
2020-01-22,上证综指,3060.754
2020-01-23,上证综指,2976.528
2020-02-03,上证综指,2746.605
2020-02-04,上证综指,2783.287
2020-02-05,上证综指,2818.087
2020-02-06,上证综指,2866.509
2020-02-07,上证综指,2875.963
2020-02-10,上证综指,2890.487
2020-02-11,上证综指,2901.674
2020-02-12,上证综指,2926.899
2020-02-13,上证综指,2906.073
2020-02-14,上证综指,2917.007
2020-02-17,上证综指,2983.622
2020-02-18,上证综指,2984.971
2020-02-19,上证综指,2975.401
2020-02-20,上证综指,3030.154
2020-02-21,上证综指,3039.669
2020-02-24,上证综指,3031.233
2020-02-25,上证综指,3013.05
2020-02-26,上证综指,2987.928
2020-02-27,上证综指,2991.328
2020-02-28,上证综指,2880.303
2020-03-02,上证综指,2970.931
2020-03-03,上证综指,2992.896
2020-03-04,上证综指,3011.665
2020-03-05,上证综指,3071.677
2020-03-06,上证综指,3034.511
2020-03-09,上证综指,2943.2907
2020-03-10,上证综指,2996.7618
2020-03-11,上证综指,2968.5174
2020-03-12,上证综指,2923.4856
2020-03-13,上证综指,2887.4265
2020-03-16,上证综指,2789.2537
2020-03-17,上证综指,2779.6407
2020-03-18,上证综指,2728.7563
2020-03-19,上证综指,2702.1296
2020-03-20,上证综指,2745.6182
2020-03-23,上证综指,2660.1674
2020-03-24,上证综指,2722.4381
2020-03-25,上证综指,2781.5913
2020-03-26,上证综指,2764.9109
2020-03-27,上证综指,2772.2033
2020-03-30,上证综指,2747.2138
2020-03-31,上证综指,2750.2962
2020-04-01,上证综指,2734.5215
2020-04-02,上证综指,2780.6379
2020-04-03,上证综指,2763.9874
2020-04-07,上证综指,2820.7634
2020-04-08,上证综指,2815.3686
2020-04-09,上证综指,2825.9036
2020-04-10,上证综指,2796.6312
2020-04-13,上证综指,2783.0476
2020-04-14,上证综指,2827.283
2020-04-15,上证综指,2811.1741
2020-04-16,上证综指,2819.935
2020-04-17,上证综指,2838.4945
2020-04-20,上证综指,2852.5528
2020-04-21,上证综指,2827.0133
2020-04-22,上证综指,2843.9804
2020-04-23,上证综指,2838.4994
2020-04-24,上证综指,2808.5293
2020-04-27,上证综指,2815.4947
2020-04-28,上证综指,2810.0243
2020-04-29,上证综指,2822.4424
2020-04-30,上证综指,2860.0822
2020-05-06,上证综指,2878.1402
2020-05-07,上证综指,2871.5232
2020-05-08,上证综指,2895.3444
2020-05-11,上证综指,2894.802
2020-05-12,上证综指,2891.5564
2020-05-13,上证综指,2898.0495
2020-05-14,上证综指,2870.3422
2020-05-15,上证综指,2868.4587
2020-05-18,上证综指,2875.4176
2020-05-19,上证综指,2898.576
2020-05-20,上证综指,2883.7378
2020-05-21,上证综指,2867.9237
2020-05-22,上证综指,2813.7654
2020-05-25,上证综指,2817.9697
2020-05-26,上证综指,2846.5473
2020-05-27,上证综指,2836.8036
2020-05-28,上证综指,2846.2217
2020-05-29,上证综指,2852.3512
2020-06-01,上证综指,2915.4311
2020-06-02,上证综指,2921.398
2020-06-03,上证综指,2923.3711
2020-06-04,上证综指,2919.2506
2020-06-05,上证综指,2930.7993
2020-06-08,上证综指,2937.7712
2020-06-09,上证综指,2956.1116
2020-06-10,上证综指,2943.7525
2020-06-11,上证综指,2920.8968
2020-06-12,上证综指,2919.7408
2020-06-15,上证综指,2890.0306
2020-06-16,上证综指,2931.7493
2020-06-17,上证综指,2935.873
2020-06-18,上证综指,2939.3151
2020-06-19,上证综指,2967.6341
2020-06-22,上证综指,2965.2717
2020-06-23,上证综指,2970.6203
2020-06-24,上证综指,2979.5505
2020-06-29,上证综指,2961.5164
2020-06-30,上证综指,2984.6741
2020-07-01,上证综指,3025.981
2020-07-02,上证综指,3090.5693
2020-07-03,上证综指,3152.8126
2020-07-06,上证综指,3332.8807
2020-07-07,上证综指,3345.3369
2020-07-08,上证综指,3403.4401
2020-07-09,上证综指,3450.5935
2020-07-10,上证综指,3383.3222
2020-07-13,上证综指,3443.2863
2020-07-14,上证综指,3414.6186
2020-07-15,上证综指,3361.3044
2020-07-16,上证综指,3210.0986
2020-07-17,上证综指,3214.1287
2020-07-20,上证综指,3314.149
2020-07-21,上证综指,3320.8947
2020-07-22,上证综指,3333.1635
2020-07-23,上证综指,3325.1102
2020-07-24,上证综指,3196.7684
2020-07-27,上证综指,3205.2268
2020-07-28,上证综指,3227.9604
2020-07-29,上证综指,3294.5521
2020-07-30,上证综指,3286.822
2020-07-31,上证综指,3310.0065
2020-08-03,上证综指,3367.9658
2020-08-04,上证综指,3371.6875
2020-08-05,上证综指,3377.5648
2020-08-06,上证综指,3386.4631
2020-08-07,上证综指,3354.0352
2020-08-10,上证综指,3379.2524
2020-08-11,上证综指,3340.29
2020-08-12,上证综指,3319.2656
2020-08-13,上证综指,3320.7261
2020-08-14,上证综指,3360.0988
2020-08-17,上证综指,3438.801
2020-08-18,上证综指,3451.0894
2020-08-19,上证综指,3408.1288
2020-08-20,上证综指,3363.8988
2020-08-21,上证综指,3380.6825
2020-08-24,上证综指,3385.6383
2020-08-25,上证综指,3373.5781
2020-08-26,上证综指,3329.7388
2020-08-27,上证综指,3350.1128
2020-08-28,上证综指,3403.8066
2020-08-31,上证综指,3395.6775
2020-09-01,上证综指,3410.6068
2020-09-02,上证综指,3404.8017
2020-09-03,上证综指,3384.9806
