code,name,date,open,high,low,close,volume,amount,daily_return
1,上证综指,2020-01-02,3066.335,3098.1,3066.335,3085.197,29247020800,327197122560.0,
1,上证综指,2020-01-03,3089.022,3093.819,3074.517,3083.785,26149666816,289991708672.0,-0.04576693157682943
1,上证综指,2020-01-06,3070.908,3107.203,3065.308,3083.408,31257584128,331182551040.0,-0.012225236195129163
1,上证综指,2020-01-07,3085.488,3105.45,3084.329,3104.801,27658311168,288159227904.0,0.693810225568603
1,上证综指,2020-01-08,3094.238,3094.238,3059.131,3066.892,29787255296,306517393408.0,-1.2209800241625879
1,上证综指,2020-01-09,3082.639,3097.329,3080.131,3094.881,24343564800,271716020224.0,0.9126177250454282
1,上证综指,2020-01-10,3102.293,3105.224,3081.396,3092.29,21044246272,241555668992.0,-0.08371888935309046
1,上证综指,2020-01-13,3091.493,3115.569,3075.383,3115.569,21062100480,258524057600.0,0.7528077896963081
1,上证综指,2020-01-14,3120.666,3127.169,3105.604,3106.82,22997377024,271542439936.0,-0.2808154786493211
1,上证综指,2020-01-15,3103.174,3107.942,3082.042,3090.037,20231302400,232913444864.0,-0.5401986597228126
1,上证综指,2020-01-16,3095.734,3096.371,3070.884,3074.081,20337547520,236843360256.0,-0.5163692214688598
1,上证综指,2020-01-17,3081.464,3091.951,3067.252,3075.495,19030429952,242273046528.0,0.04599748672855508
1,上证综指,2020-01-20,3082.113,3096.31,3070.48,3095.787,21049334016,271122456576.0,0.6597962279242919
1,上证综指,2020-01-21,3085.789,3085.789,3051.23,3052.141,23483073792,286268096512.0,-1.4098515175624105
1,上证综指,2020-01-22,3038.486,3069.252,3006.267,3060.754,22385286400,278456922112.0,0.282195350739034
1,上证综指,2020-01-23,3037.952,3045.04,2955.346,2976.528,27276323328,327490359296.0,-2.75180560084215
1,上证综指,2020-02-03,2716.697,2766.577,2716.697,2746.605,21591210240,257019596800.0,-7.724536775733326
1,上证综指,2020-02-04,2685.269,2786.164,2685.269,2783.287,36404620032,374068465664.0,1.3355396935489372
1,上证综指,2020-02-05,2792.371,2842.742,2778.864,2818.087,30976182272,349184114688.0,1.2503202149113601
1,上证综指,2020-02-06,2826.885,2876.587,2807.609,2866.509,31639214336,358582591488.0,1.7182578110611857
1,上证综指,2020-02-07,2858.932,2875.963,2838.77,2875.963,30947964160,362384162816.0,0.3298088371604724
1,上证综指,2020-02-10,2860.499,2891.847,2851.05,2890.487,29492978432,341520400384.0,0.5050134511466187
1,上证综指,2020-02-11,2894.541,2913.815,2882.242,2901.674,26916833536,302956847104.0,0.3870282066655184
1,上证综指,2020-02-12,2895.556,2926.899,2892.424,2926.899,24873342976,297534418944.0,0.8693257753972228
1,上证综指,2020-02-13,2927.144,2935.406,2901.242,2906.073,27480484352,334526328832.0,-0.7115380476060196
1,上证综指,2020-02-14,2899.865,2926.942,2899.573,2917.007,25065062656,308080369664.0,0.3762465705438256
1,上证综指,2020-02-17,2924.991,2983.637,2924.991,2983.622,31319800832,367014338560.0,2.2836763847327024
1,上证综指,2020-02-18,2981.409,2990.6,2960.775,2984.971,31166591232,374998560768.0,0.04521350224659937
1,上证综指,2020-02-19,2979.522,2998.271,2971.821,2975.401,31514115072,381331161088.0,-0.32060612984180503
1,上证综指,2020-02-20,2981.88,3031.37,2968.445,3030.154,34573288192,413761363968.0,1.8401889358778956
1,上证综指,2020-02-21,3022.245,3058.898,3020.141,3039.669,36455727616,445062078464.0,0.3140104430335855
1,上证综指,2020-02-24,3027.892,3042.182,3007.355,3031.233,37043004416,451601362944.0,-0.27753021792832344
1,上证综指,2020-02-25,2982.069,3016.945,2943.716,3013.05,44162276096,513128644608.0,-0.5998549105265094
1,上证综指,2020-02-26,2978.419,3028.778,2974.942,2987.928,46904955136,495341449216.0,-0.8337730870712545
1,上证综指,2020-02-27,2992.491,3009.457,2980.477,2991.328,35052365824,395955642368.0,0.11379122923980134
1,上证综指,2020-02-28,2924.64,2948.126,2878.544,2880.303,40121691392,432657776640.0,-3.7115622225312617
1,上证综指,2020-03-02,2899.31,2982.506,2899.31,2970.931,36733336832,397244203008.0,3.1464745202154143
1,上证综指,2020-03-03,3006.888,3026.842,2976.623,2992.896,41010804736,447053680640.0,0.7393305330887889
1,上证综指,2020-03-04,2981.806,3012.003,2974.358,3011.665,35333827840,389893918720.0,0.627118349585154
1,上证综指,2020-03-05,3036.154,3074.257,3022.926,3071.677,44542580736,482770472960.0,1.992651905175391
1,上证综指,2020-03-06,3039.939,3052.443,3029.463,3034.511,36206153216,377388544000.0,-1.209957948052487
1,上证综指,2020-03-09,2987.1805,2989.2051,2940.7138,2943.2907,41456073600,438143854609.8,-3.0060955455425864
1,上证综指,2020-03-10,2918.9347,3000.2963,2904.7989,2996.7618,39329664800,425017184790.9,1.8167114787540406
1,上证综指,2020-03-11,3001.7616,3010.0286,2968.5174,2968.5174,35247097000,378766618968.3,-0.9424973316197516
1,上证综指,2020-03-12,2936.0163,2944.4651,2906.2838,2923.4856,30777845700,328209202377.8,-1.5169794861232822
1,上证综指,2020-03-13,2804.2322,2910.8812,2799.9841,2887.4265,36645043600,393019665228.0,-1.233428343207843
1,上证综指,2020-03-16,2897.3009,2898.0349,2784.6616,2789.2537,35187866500,375627000794.2,-3.4000103552419336
1,上证综指,2020-03-17,2796.284,2826.9068,2715.2213,2779.6407,30614967700,323012822799.1,-0.34464416055091096
1,上证综指,2020-03-18,2792.3221,2815.8737,2728.7563,2728.7563,29115985200,318611391559.4,-1.8306106972746483
1,上证综指,2020-03-19,2719.4063,2736.82,2646.8048,2702.1296,30230274700,330518008489.8,-0.9757815309487272
1,上证综指,2020-03-20,2727.0186,2751.8964,2702.4933,2745.6182,25201950700,281583369664.4,1.6094194741806511
1,上证综指,2020-03-23,2677.591,2703.3295,2656.5008,2660.1674,24982025000,268423241973.7,-3.1122608380145578
1,上证综指,2020-03-24,2703.0193,2723.4066,2667.1333,2722.4381,25702193000,278999306643.2,2.340856443846362
1,上证综指,2020-03-25,2775.3032,2788.6354,2757.8016,2781.5913,27314446600,293191204398.7,2.1728023862140455
1,上证综指,2020-03-26,2761.8961,2788.5038,2753.4282,2764.9109,23408402200,248279785000.7,-0.5996711306941571
1,上证综指,2020-03-27,2792.9843,2805.5479,2771.7563,2772.2033,24076406600,253630725892.3,0.26374810124984993
1,上证综指,2020-03-30,2739.7191,2759.0989,2723.0543,2747.2138,23970660400,250687144232.8,-0.9014310025530992
1,上证综指,2020-03-31,2767.3072,2771.1683,2743.1154,2750.2962,21859867400,224271061569.1,0.11220095065045399
1,上证综指,2020-04-01,2743.5409,2773.3641,2731.0794,2734.5215,21725342700,225624646571.6,-0.5735636765232921
1,上证综指,2020-04-02,2720.2284,2780.6379,2719.9043,2780.6379,21786460000,233111575711.2,1.6864522732770837
1,上证综指,2020-04-03,2773.5764,2780.5868,2754.0731,2763.9874,20083740400,214062212038.2,-0.5988014476822068
1,上证综指,2020-04-07,2806.9676,2823.2767,2801.8386,2820.7634,27019818600,286627794328.1,2.0541338213046823
1,上证综指,2020-04-08,2805.9166,2823.2139,2800.2963,2815.3686,24351530500,253159668052.3,-0.19125319053699963
1,上证综指,2020-04-09,2825.8393,2832.395,2820.4326,2825.9036,23818484300,247392988028.6,0.3741961176948694
1,上证综指,2020-04-10,2827.1873,2833.0148,2789.9756,2796.6312,23345476800,246376307236.7,-1.0358598219698756
1,上证综指,2020-04-13,2784.5979,2792.8906,2774.0808,2783.0476,17712455400,184120284139.7,-0.4857129534991955
1,上证综指,2020-04-14,2794.801,2827.2981,2789.4279,2827.283,20269656900,223605697288.9,1.5894589801482395
1,上证综指,2020-04-15,2826.6618,2829.7503,2808.7039,2811.1741,20562114600,231631632235.0,-0.5697660969913421
1,上证综指,2020-04-16,2798.4295,2823.3382,2796.8388,2819.935,20300377300,222432600865.7,0.3116455860915801
1,上证综指,2020-04-17,2835.5581,2854.9599,2830.0217,2838.4945,24573675000,280025229139.5,0.6581534680763834
1,上证综指,2020-04-20,2840.4085,2852.99,2833.2615,2852.5528,21184707800,233759313193.0,0.49527311044641475
1,上证综指,2020-04-21,2842.2372,2842.2372,2808.0214,2827.0133,23323587000,248688585735.6,-0.8953208508533095
1,上证综指,2020-04-22,2814.0661,2843.9804,2808.4819,2843.9804,21732000000,232796777750.0,0.60017757963855
1,上证综指,2020-04-23,2850.5104,2853.6357,2835.8961,2838.4994,24877903700,262662040531.8,-0.1927228471757303
